State,Value
1657,0
12808,10
6247,10
17182,0
14995,10
1873,10
16939,10
3817,0
12565,10
8191,10
1630,10
17938,-10
18424,10
17695,10
4573,-10
18640,-10
17911,10
4789,-10
18397,10
5275,-10
11107,-10
4546,10
13321,10
13537,0
14023,10
15481,0
13294,10
172,0
1405,10
10882,-10
4321,0
16714,10
15985,10
2863,0
8695,0
12340,10
11611,10
7237,0
676,10
12826,-10
6265,-10
17200,-10
15013,-10
1891,-10
16957,0
3835,-10
12583,-10
8209,-10
1648,0
18658,10
17929,10
4807,-10
5293,10
11125,-10
4564,10
13555,-10
14041,10
15499,0
13312,10
190,0
17173,0
4051,-10
12799,10
8425,-10
1864,10
18631,10
5509,-10
11341,-10
4780,0
14257,0
15715,0
13528,0
406,0
16687,10
3565,-10
12313,10
7939,-10
1378,10
11827,-10
5266,10
16201,0
14014,10
892,0
10855,-10
9397,-10
2836,0
10369,-10
3808,0
15472,0
2350,0
7210,0
8182,10
11098,0
6724,0
163,0
1957,10
6358,10
19552,-10
6430,-10
12910,10
6349,10
15106,10
15178,-10
17284,-10
15097,10
1975,-10
6412,10
12964,10
6403,10
15160,10
17338,10
15151,10
2029,10
17266,10
17257,10
4135,10
12892,10
12883,10
8509,10
1948,10
4873,10
18022,10
18094,-10
18742,10
18013,10
4891,10
18076,10
18796,-10
18067,10
4945,10
18724,10
18715,10
5593,10
11425,10
4864,10
13621,10
13639,-10
13693,-10
14341,-10
15799,-10
13612,10
490,-10
19558,-10
6436,-10
12916,10
6355,10
15184,-10
17290,0
15103,10
1981,0
12970,10
6409,10
17344,0
15157,10
2035,10
17263,10
4141,0
12889,10
8515,10
1954,10
18100,-10
18748,10
18019,10
4897,10
18802,10
18073,10
4951,10
18721,10
5599,10
11431,10
4870,10
13645,10
13699,10
14347,10
15805,10
13618,10
496,10
12988,10
6427,10
17362,-10
15175,-10
2053,-10
17281,0
4159,-10
12907,10
8533,0
1972,0
18820,10
18091,10
4969,10
5617,10
11449,10
4888,10
13717,-10
14365,10
15823,-10
13636,10
514,0
17335,10
4213,10
8587,10
2026,10
18793,10
5671,10
11503,10
4942,10
14419,-10
15877,-10
13690,10
568,10
12151,10
5590,10
16525,-10
14338,10
1216,10
10693,-10
4132,10
15796,10
2674,0
8506,10
11422,10
7048,0
487,10
5845,10
18985,-10
5863,-10
19039,-10
5917,-10
19201,-10
6079,-10
12397,10
